logistics_type,logistics_sub_type,name_zh,provider,type,collection_available,max_amount,size_limit,temperature,notes
CVS,pay_type=IPL7,7-11 超商取貨付款,pchomepay,cvs_c2c,true,20000,,常溫,金額 65–20000；物流單由金流訂單派生；不提供 OK／宅配
CVS,pay_type=IPLFM,全家 超商取貨付款,pchomepay,cvs_c2c,true,20000,,常溫,金額 65–20000；物流單由金流訂單派生；不提供 OK／宅配
CVS,pay_type=IPLHL,萊爾富 超商取貨付款,pchomepay,cvs_c2c,true,20000,,常溫,金額 65–20000；物流單由金流訂單派生；不提供 OK／宅配
CVS,Logistic_service=01,7-11 交貨便,paynow,cvs_c2c,true,20000,,常溫,DeliverMode 01 取貨付款／02 取貨不付款
CVS,Logistic_service=02,7-11 大宗物流,paynow,cvs_b2c,true,20000,,常溫,DeliverMode 01 取貨付款／02 取貨不付款
CVS,Logistic_service=03,全家店到店,paynow,cvs_c2c,true,20000,,常溫,DeliverMode 01 取貨付款／02 取貨不付款
CVS,Logistic_service=04,全家大宗物流,paynow,cvs_b2c,true,20000,,常溫,DeliverMode 01 取貨付款／02 取貨不付款
CVS,Logistic_service=05,萊爾富店到店,paynow,cvs_c2c,true,20000,,常溫,DeliverMode 01 取貨付款／02 取貨不付款
CVS,Logistic_service=10,OK 店到店,paynow,cvs_c2c,true,20000,,常溫,DeliverMode 01 取貨付款／02 取貨不付款
CVS,Logistic_service=21,7-11 交貨便（冷凍）,paynow,cvs_c2c,true,20000,,冷凍,DeliverMode 01 取貨付款／02 取貨不付款；電子地圖用 Logistic_serviceID=22，建單固定 21
CVS,Logistic_service=22,7-11 大宗物流（冷凍）,paynow,cvs_b2c,true,20000,,冷凍,DeliverMode 01 取貨付款／02 取貨不付款
CVS,Logistic_service=23,全家店到店（冷凍）,paynow,cvs_c2c,true,20000,,冷凍,DeliverMode 01 取貨付款／02 取貨不付款
CVS,Logistic_service=24,全家大宗物流（冷凍）,paynow,cvs_b2c,true,20000,,冷凍,DeliverMode 01 取貨付款／02 取貨不付款
HOME,Logistic_service=06,黑貓宅急便,paynow,home,true,100000,,常溫/冷藏/冷凍,DeliveryType 0001/0002/0003；長寬高合計 ≤ 150 cm
HOME,Logistic_service=36,黑貓宅急便（自動保險）,paynow,home,false,100000,,常溫/冷藏/冷凍,保險單 DeliverMode 須為 02；總金額超過 20000 自動投保
CVS,Logistic_service=46,黑貓到店,paynow,cvs_c2c,true,20000,,常溫/冷藏/冷凍,取件門市；長寬高合計 ≤ 105 cm
CROSS_BORDER,Logistic_service=07,7-11 海外店配,paynow,cross_border,,,,常溫,需帶 Country
CROSS_BORDER,Logistic_service=08,7-11 海外宅配,paynow,cross_border,,,,常溫,需帶 Country
CVS,Logistic_service=12,7-11 大宗退貨便,paynow,return,false,,,常溫,退貨用
CVS,stCate=TFM,全家 店到店,ezship,cvs_c2c,true,10000,,常溫,order_status A01–A04；order_type 1 取貨付款（代收 10–10000）／3 取貨不付款；不含 7-11
CVS,stCate=TLF,萊爾富 店到店,ezship,cvs_c2c,true,10000,,常溫,order_status A01–A04；order_type 1 取貨付款（代收 10–10000）／3 取貨不付款；不含 7-11
CVS,stCate=TOK,OK 店到店,ezship,cvs_c2c,true,10000,,常溫,order_status A01–A04；order_type 1 取貨付款（代收 10–10000）／3 取貨不付款；不含 7-11
HOME,order_status=A05/A06,ezShip 宅配,ezship,home,true,8000,,常溫,order_type 1 取貨付款（代收 10–8000）；rv_addr、rv_zip 必填
CROSS_BORDER,stCate=TSF,店港澳,ezship,cross_border,false,,,常溫,order_status A11/A12；無代收
HOME,eprdcl2=001/003/008,新竹物流（直連）,hct_direct,home,true,,,常溫/冷凍/冷藏,eprdcl2 001 一般／003 冷凍／008 冷藏；eqmny 代收貨款
ONDEMAND,LALAMOVE,Lalamove 即時配送,lalamove,ondemand,false,依方案,依車型,常溫,先報價後下單;報價效期5分鐘;同城/當日;可換司機;非批次物流
ONDEMAND,PANDAGO,pandago 即時配送,pandago,ondemand,false,依報價,34x34x36cm/20kg,常溫,費用與時間為兩支獨立端點;公開Sandbox僅新加坡(台灣另有Stage環境);不需成為foodpanda餐廳夥伴
ONDEMAND,UBER_DIRECT,Uber Direct 即時配送,uber_direct,ondemand,false,依報價,依方案,常溫,配送半徑約10英里;可預約最多30天;台灣可用性未經官方確認
