method_code,method_zh,method_en,ecpay_code,newebpay_code,payuni_code,opay_code,smilepay_code,pchomepay_code,ezpay_code,paynow_code,min_amount,max_amount,settlement_days,fee_type,notes
plus_pay,全盈+PAY,Plus Pay,DigitalPayment,PLUSPAY?,,,,,PLUSPAY?,,1,,2-3,percentage,玉山金控；ECPay umbrella 確認；NewebPay/ezPay PLUSPAY 為推測碼（需以官方 PDF 確認）
ipass_money,一卡通 MONEY,iPASS Money,DigitalPayment,IPASSPAY?,,,,,IPASSPAY?,,1,,2-3,percentage,一卡通；ECPay umbrella 確認；NewebPay/ezPay IPASSPAY 為推測碼（需以官方 PDF 確認）
easywallet,悠遊付,Easy Wallet,DigitalPayment,EASYCARD?,,,,,EASYCARD?,,1,,2-3,percentage,悠遊卡公司；ECPay umbrella 確認；NewebPay/ezPay EASYCARD 為推測碼（悠遊付為 wallet 產品 vs 悠遊卡實體；可能實際代碼為 EASYWALLET，需以官方 PDF 確認）
icash_pay,icash Pay,iCash Pay,DigitalPayment,ICASHPAY,,,,,ICASHPAY,,1,,2-3,percentage,愛金卡；ECPay umbrella；PAYUNi 直送 ICASH (見 icash 行)；PayNow 現代版 PaymentIntent enum 不含 iCashPay；NewebPay/ezPay ICASHPAY 為推測碼（需以官方 PDF 確認）
ecpay_pay,綠界Pay,ECPay Pay,EcpayPay,,,,,,,,1,,2-3,percentage,ECPay 自家錢包
openpoint,OPENPOINT,OPEN POINT,DigitalPayment,,,,,,,,1,,2-3,percentage,7-11/統一集團；ECPay umbrella
atome,Atome 安多目,Atome,BNPL,,,,,,,,1,30000,依方案,percentage,新加坡 BNPL 服務；ECPay 走 BNPL umbrella
account_link,銀行快付,Account Link,,,,AccountLink,,,,,1,,2-3,percentage,歐付寶獨有付款方式；ECPay 無對應代碼
topup_used,儲值消費,Top Up Used,,,,TopUpUsed,,,,,1,,2-3,percentage,歐付寶獨有；以歐付寶電支帳戶儲值餘額支付
gamapay,橘子支付,GAMA PAY,DigitalPayment,,,,,,,,1,,2-3,percentage,橘子支行動支付（第 10 家專營電支機構，先前未收錄）；無公開商家文件；TWQR 參與機構；各聚合商代碼待驗證，見 references/twqr-ewallet-landscape.md
