provider,code,message_zh,message_en,category,severity,solution
newebpay,MPG01029,訂單金額與訂單細項總金額不相符,,validation,error,Amt 須等於訂單細項總金額
newebpay,MPG01030,訂單細項品項編號不可重複,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG02001,檢查碼錯誤,,auth,error,"TradeSha 錯誤：SHA256(""HashKey={key}&{TradeInfo}&HashIV={iv}"") 轉大寫；確認 HashKey/HashIV"
newebpay,MPG02002,查無商店開啟任何金流服務,,auth,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG02003,支付方式未啟用，請洽客服中心,,auth,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG02004,匯率時間戳記不存在，請確認,,auth,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG02005,驗證資料錯誤(來源不合法),,auth,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG02006,信用卡收單機構系統發生異常，請洽客服中心,,auth,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG02007,本商店強制指定需檢核轉出行，請先啟用智慧,,auth,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG02008,SourceType 參數錯誤，本商店強制指定需檢核,,auth,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG02009,不可修改銀行代號與帳號時，須提供指定轉帳,,auth,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG02010,此版本不支援，請升級至v2.3,,auth,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG03001,FormPost 加密失敗,,system,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG03002,拒絕交易 IP,,system,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG03003,IP 交易次數限制,,system,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG03004,商店狀態已被暫停或是關閉，無法進行交易,,system,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG03005,回傳參數資料不存在/解密失敗,,system,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG03006,回傳參數資料不存在/解密失敗,,system,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG03007,該筆訂單交易資訊不存在，請重新交易,,system,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG03008,已存在相同的商店訂單編號,,system,error,MerchantOrderNo 不可重複
newebpay,MPG03009,交易失敗,,system,error,交易失敗，依 Message 判斷原因
newebpay,MPG03010,驗證資料不存在或錯誤,,system,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG03011,訂單資料已不存在，請重新交易,,system,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG05001,未有信用卡驗證資料,,payment,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG05002,信用卡卡號長度不足,,payment,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG05003,此信用卡不支援一次付清，請改用可一次付清,,payment,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG05004,發卡行暫時無法提供信用卡分期付款服務,,payment,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG05005,警示交易,,payment,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG05006,物流設定參數[LgsType]錯誤,,payment,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG05007,請開啟其他支付方式,,payment,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG05008,因金額限制關係，無法使用物流服務,,payment,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10001,商店資料取得失敗,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10003,金額必須為數字,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10008,資料加密錯誤,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10009,商店代號不可空白,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10012,商店代號停用,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10013,商店信用卡資格停用,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10015,網路連線失敗,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10018,資料不足,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10021,查無該筆交易或該筆交易不為信用卡交易,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10026,此訂單非授權成功狀態，不可請款,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10027,此訂單已申請過請款，不可重覆請款,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10028,請退款金額超過授權金額，請確認,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10029,請款超過授權日N 天，已不得請(退)款,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10030,請款/退款資料新增失敗,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10031,銀聯卡交易只接受全額請退款,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10032,單號類型只能為數字1 或2,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10033,選擇使用商店自訂單號不可空白,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10035,該交易非授權成功或已請款完成狀態，請確認,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10036,RespondType 欄位資料格式錯誤,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10037,商家自訂單號錯誤，只允許英數字及_符號,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10038,選擇使用系統單號格式錯誤,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10039,退款金額已超過請款金額，請確認,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10041,網址格式錯誤,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10045,該筆交易正在退款中或退款失敗,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10046,該筆交易撥款狀態異常，無法執行退款,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10047,該交易不為授權成功狀態，不可放棄授權,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10048,該交易正在請款狀態,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10049,該交易正在退款狀態,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10050,金額不符,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10051,取消授權失敗,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10054,檢查碼CheckValue 有錯誤,,request,error,"CheckValue 錯誤：SHA256(""IV={iv}&Amt=..&MerchantID=..&MerchantOrderNo=..&Key={key}"") 轉大寫"
newebpay,TRA10058,動態貨幣轉換交易只接授全額請款,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10070,銀聯卡交易無需請款,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10071,因查無交易資料次數已達上限，已鎖定交易查,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10077,只能退未撥金額,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10094,資料取消失敗,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10095,此筆交易已過關帳時間，不可取消,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10678,銀聯卡退款失敗,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10675,紅利交易只接授全額請退款,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA10702,因達到執行請退款筆數上限，您的商店暫時無,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA11002,因失敗過多您的商店暫時無法使用本功能,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA20001,金融機構取消授權批次處理中,,request,info,非錯誤：取消授權需由金融機構批次處理，稍後以查詢確認
newebpay,TRA20002,查無交易資料,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA20004,商店訂單編號重覆,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA20011,該筆交易已請款,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA20027,此訂單已申請過退款，退款中,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA20028,可退款金額不足，請查看常見問題 https://,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,TRA40014,TimeStamp 欄位錯誤,,request,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
payuni,SUCCESS,交易成功,Success,success,info,業務結果看 EncryptInfo 解密後的 Status 與 TradeStatus
payuni,OK,AFTEE 審核通過,AFTEE approved,success,info,AFTEE 通知的 Status 可能為 OK
payuni,ERROR,外層錯誤（回應不含 EncryptInfo）,Outer error,system,error,檢查 MerID、Version 與 EncryptInfo / HashInfo 格式
payuni,API00003,無 API 版本號,Missing API version,validation,error,外層表單須帶 Version：UPP/退款 1.0、物流/LINE Pay 1.1、查詢 v2 為 2.0
smilepay,1,取號／建立成功,Success,success,info,只有 1 代表成功；其他值以 Desc 判讀（速買配未公開金流錯誤代碼表）
pchomepay,10001,APPID 和 Secret 錯誤,invalid user password,auth,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,10002,不被允許的 IP 位址,Server IP not allow,auth,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,10003,token 錯誤,invalid token,auth,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,10004,token 逾期,token expired,auth,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,10006,未設定 notifyURL 或 returnURL,api client has not set notifyURL or returnURL yet,auth,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,10007,會員帳號無法使用功能服務,"you are temporarily unable to perform this function, please contact customer service",auth,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20001,訂單編號不可重複,order id duplicate,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20002,訂單不存在,order not exists,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20003,付款類別錯誤,pay type not support,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20005,參數錯誤,params is not valid,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20006,信用卡分期的商品金額須為 30 元以上,"When the credit card installments, the amount of orders can not be less than 30",validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20007,目前無法查詢當日資料,It not allow to check today's data,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20008,商品名稱超過字數限制,order items string too long,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20009,請求格式不是 JSON 格式,Request data is not a json structure data,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20011,銀行代號或銀行帳戶不存在,bank code or bank account not exists.,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20013,ATM 銀行代碼錯誤,ATM bank code invalid,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20014,未設定超商退貨門市,cvs setting error.,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20019,建立拍錢包訂單失敗,create pi payment fail.,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20020,拍錢包收款尚未啟用,pi payment is disable,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20022,拍錢包訂單金額超過上限,order amount is exceeds the pi setting,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20023,會員帳號暫時無法使用此收款功能,function lock.,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20025,移除記憶信用卡失敗,remove card info fail.,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20030,平台代碼錯誤,platform code not accept,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,20031,暫時無法建立信用卡分期付款訂單,Currently unable to create installment payment orders.,validation,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,40001,ATM 逾期錯誤,invalid atm expire date,payment,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,40003,會員帳號暫時無法此功使用,function lock.,payment,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,40005,餘額不足,member balance not enough.,payment,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50001,退款編號不可重複,Refund id is duplicate.,refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50002,該筆訂單並未成功付款，無法退款,"The order is not confirm yet, refund can't be execute",refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50003,訂單編號不存在,"The order is not found, order id might invalid",refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50004,退款金額需大於 0,Refund amount must bigger than 0,refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50005,帳戶餘額不足以退款,Your balance is not enough to refund,refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50006,查無此退款編號之資料,Can not find the information of the refund id,refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50007,信用卡分期之退款只能全額退，不支援部分退款,Order payed by credit card with installment can only refund with full order amount only.,refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50009,ATM 退款資訊未備齊，請隔日再試,The atm refund data is not ready. Please send the refund request later,refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50010,訂單已失敗，不可退款,"The order is failed, refund can't be execute",refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50011,退款金額必須與訂單金額相同,Refund amount must equal to order amount,refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50012,訂單已退款,The order is already refund,refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50013,訂單目前不能退款,The order is not allow to refund,refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50014,訂單不支援此退款方式,The pay type is not allow to refund,refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50015,建立拍錢包退款失敗,Call Pi refund API error.,refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,50016,原付款行不支援退回原帳戶,Bank code not support atm refund.,refund,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,70001,本行提領金額需 > 1元,withdraw must be bigger than 10 dollars,system,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,70003,提領金額超過可提領餘額,withdraw amount is over than available balance,system,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,70004,提領金額超過本日提領額度上限,withdraw amount is over than withdraw daily limit,system,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,70005,提領銀行尚未設定,information of bank to withdraw is not set yet,system,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,70006,會員帳號暫時無法使用提領功能,function lock.,system,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,90001,物流狀態錯誤,invalid status,logistics,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,90002,物流狀態歷程不存在,logistic status history not found,logistics,error,見 PChomePay API 文件「7. 錯誤代碼」
pchomepay,90004,列印交寄單失敗,Print delivery note fail.,logistics,error,見 PChomePay API 文件「7. 錯誤代碼」
ezpay,SCTE0001,Version 不得為空,,validation,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0002,Version 錯誤,,validation,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0003,APIID 不得為空,,validation,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0004,APIID 錯誤,,validation,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0005,UID 不得為空,,validation,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0006,EncryptData 不得為空,,validation,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0007,HashData 不得為空,,validation,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0008,UID 錯誤,,validation,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0009,HashData 錯誤,,validation,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0010,商店不為啟用狀態,,validation,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE9999,系統異常,,system,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0301,TimeStamp 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0302,Mode 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0303,Mode 為 1 MerchantOrderNo 不得為空值,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0304,Mode 為 3 MerchantOrderNo 不得為空值,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0305,Mode 為 2 MerchantOrderNo 必須為空值,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0306,Mode 為 4 MerchantOrderNo 必須為空值,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0307,Mode 為 1 OrderAmt 不得為空值,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0308,Mode 為 2 OrderAmt 不得為空值,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0309,Mode 為 3 OrderAmt 必須為空值,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0310,Mode 為 4 OrderAmt 必須為空值,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0311,Template 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0312,LangType 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0313,TWQRLifeTime 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0314,ExpireTime 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0315,"ExpireTime 錯誤,不可以使用過去時間",,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0316,WebToAppEnabled 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0317,MerchantOrderNo 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0318,NotifyURL 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0319,ReturnURL 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0320,ClientBackURL 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0321,Currency 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0322,OrgOrderAmt 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0323,OrderAmt 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0324,應付金額不得大於原始訂單金額,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0325,ItemDesc 錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0361,TWQRLifeTime 設定超出上限範圍,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0362,MerchantOrderNo 長度過長,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0363,NotifyURL 長度過長,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0364,ReturnURL 長度過長,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0365,ClientBackURL 長度過長,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0366,OrgOrderAmt 超出設定上限,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0367,OrderAmt 超出設定上限,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0368,ItemDesc 長度過長,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0601,過期時間設定超出上限範圍,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0602,商店未啟用簡單付 TWQR 交易,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0603,訂單已存在(商店訂單編號重複),,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0604,交易已存在(商店訂單編號重複),,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
ezpay,SCTE0699,訂單建立異常錯誤,,business,error,ezPay 電子支付平台手冊 W1.0.2「十一、錯誤代碼」（訂單建立 API）
